fecha,equity
2026-07-06T22:17:34.467574+00:00,100000.00
2026-07-06T22:21:11.218611+00:00,100000.00
2026-07-06T22:47:09.567447+00:00,100000.00
2026-07-06T23:13:31.581428+00:00,100000.00
2026-07-06T23:40:02.540062+00:00,100000.00
2026-07-07T12:14:44.504590+00:00,100000.002026-07-10T19:27:50.457721+00:00,101945.36
2026-07-10T19:37:22.393509+00:00,101916.01
2026-07-10T22:35:47.550834+00:00,101911.82
2026-07-13T22:32:22.079998+00:00,101911.74
2026-07-14T22:35:01.898963+00:00,101911.74
2026-07-15T22:34:13.302511+00:00,101911.74
2026-07-16T22:33:06.299044+00:00,101911.74
2026-07-17T22:27:17.998643+00:00,101911.74
2026-07-20T22:33:06.935674+00:00,101911.74
2026-07-21T22:30:23.282573+00:00,101911.74
2026-07-22T22:37:52.761839+00:00,101911.74
2026-07-23T22:33:59.877997+00:00,101911.74
2026-07-24T22:38:49.335232+00:00,101911.74
2026-07-27T22:37:49.180349+00:00,101911.74
2026-07-28T22:38:27.705420+00:00,101911.74
2026-07-29T22:33:29.652928+00:00,101911.74
2026-07-30T22:41:04.679235+00:00,101911.74
2026-07-31T22:38:15.050745+00:00,101911.74
2026-08-03T22:35:39.404246+00:00,101911.74
2026-08-04T22:39:32.733049+00:00,102498.73
2026-08-05T22:38:24.647330+00:00,102449.04
2026-08-07T01:04:28.248317+00:00,102292.80
2026-08-07T22:09:04.681955+00:00,102509.92
2026-08-10T22:10:24.441853+00:00,102485.28
2026-08-11T22:21:44.576677+00:00,102275.27
2026-08-12T22:21:48.855682+00:00,102686.42
2026-08-13T22:21:47.574932+00:00,102967.51
2026-08-14T21:53:29.212456+00:00,102869.67
2026-08-17T21:55:00.109363+00:00,102696.02
2026-08-18T21:52:36.757249+00:00,102421.97
2026-08-19T21:54:52.521608+00:00,102518.04
2026-08-20T21:56:54.278098+00:00,102214.52
2026-08-21T21:54:49.380774+00:00,102383.56
2026-08-24T21:57:17.339916+00:00,102260.16
2026-08-25T21:55:54.922646+00:00,102372.19
2026-08-27T01:01:40.671918+00:00,102371.36
2026-08-28T05:35:57.599955+00:00,102371.36
2026-08-29T03:20:49.127844+00:00,102371.36
